supp_id,supp_name,supp_contact,supp_email,supp_phone,supp_addr,supp_city,supp_state,supp_country,supp_postal,lead_time_days,pay_terms,qual_score,rel_score,contract_start,contract_end,pref_carrier
SUPP0035,Superior Supplies,Karen Lopez,contact@supplies.com,(909) 745-9305,1460 Pine Rd,Nashville,IN,USA,80568,36,Net 30,63,68.0,2022-06-04,2023-07-12,XPO Logistics
SUPP0036,Integrated Supply Co.,Sarah Garcia,contact@co..com,,364 Cedar Blvd,Fort Worth,IA,USA,26428,12,COD,84,97.0,2021-09-02,2024-01-11,C.H. Robinson
SUPP0037,Premier Corporation,Sarah Wilson,sales@corporation.com,3082409833,4630 Pine Dr,El Paso,KS,USA,9355,38,Net 30,85,67.0,2021-08-09,2023-12-25,DHL
SUPP0038,Elite Inc.,Susan Taylor,einc.@business.net,(379) 697-6131,1201 Lake Way,Jacksonville,AR,Japan,Z4T 1K7,43,Letter of Credit,68,60.0,2021-05-22,2022-08-27,FedEx
SUPP0039,Premier Associates,Jennifer Gonzalez,passociates#outlook.com,6386385063,6390 Industrial Way,Austin,AK,South Korea,G6B 4A2,52,1/10 Net 30,75,82.0,2022-04-11,2023-09-25,MSC
SUPP0040,Integrated Networks,Elizabeth Jones,inetworks@hotmail.com,5236379259,4073 Hill Rd,San Diego,TX,Mexico,H5D 3B4,51,Net 45,66,81.0,2022-02-09,2023-04-12,J.B. Hunt
SUPP0041,International Corporation,Karen Taylor,info@corporation.com,,4309 Industrial Ave,New York,FL,France,Z5M 3A3,49,Net 30,91,98.0,2022-04-30,2023-07-16,USPS
SUPP0042,National Networks,William Brown,sales@networks.com,+1-651-352-6482,4114 Elm Way,Washington,IA,Japan,F3P 9C3,24,Net 45,73,86.0,2021-12-20,2023-10-28,
SUPP0043,Metropolitan Solutions,Susan Gonzalez,contact@solutions.com,6721526398,5965 Main Ln,Portland,NJ,Canada,K6K 1F7,53,1/10 Net 30,98,63.0,2021-03-11,2023-10-29,CMA CGM
SUPP0044,Universal Distributors,Linda Miller,info@distributors.com,221-882-1776,8409 Elm Park,Los Angeles,NJ,USA,94173,40,Net 60,87,91.0,2022-01-15,2024-08-10,Maersk
SUPP0045,Advanced Enterprises,Jennifer Martinez,sales@enterprises.com,8392667650,1119 Cedar Pl,Chicago,CT,USA,95316,34,Net 30,91,70.0,2021-01-12,2022-05-07,DHL
SUPP0046,Superior Supply Co.,David Brown,info@co..com,+1-189-717-7434,6329 Cedar Ln,Los Angeles,TX,USA,21924,3,COD,77,93.0,2021-05-21,2022-07-29,CMA CGM
SUPP0047,Integrated Distributors,David Jackson,contact@distributors.com,+1-815-861-6670,8955 Hill Park,Phoenix,WI,USA,67881,48,COD,80,94.0,2021-09-21,2023-06-04,DHL
SUPP0048,Metropolitan International,Robert Davis,sales@international.com,(354) 685-9510,4555 Pine St,New York,NE,Canada,R1R 5M1,31,Net 30,68,69.0,2021-09-03,2024-03-08,DHL
SUPP0049,National Corporation,Joseph Hernandez,ncorporation@example.org,6333745634,4162 Lake St,Washington,WI,USA,15411,29,2/10 Net 30,79,63.0,2021-07-14,2023-08-24,J.B. Hunt
SUPP0050,Global Associates,Susan Wilson,gassociates@hotmail.com,(993) 769-7847,9184 Main Ave,Jacksonville,MN,USA,56075,23,Net 60,85,,2022-01-05,2023-11-21,MSC
