prod_id,prod_name,prod_desc,cat_id,cat_name,subcat_id,subcat_name,unit_cost,unit_price,supp_id,prod_status,launch_date,disc_date,inv_min_lvl,prod_weight,prod_dim,gm_pct
PROD00016,Premium Server W185,"Premium Server W185: Wireless connectivity, 4K resolution, Noise cancelling",CAT005,Software,SCAT019,Office Applications,252.14,405.91,SUPP0003,Active,2022-07-23,,24,0.63,,37.88
PROD00017,Ultra Smartphone M722,"Ultra Smartphone M722: Touch screen, Voice control, AI-powered",CAT003,Accessories,SCAT013,Audio Accessories,801.74,1173.87,SUPP0041,Limited Stock,2023-11-05,,34,7.52,82 x 63 x 3 cm,31.7
PROD00018,Lightweight Mouse O133,"Lightweight Mouse O133: Wireless connectivity, Energy efficient, Shock proof",CAT001,Computing Devices,SCAT004,Smartphones,113.88,148.95,SUPP0017,Limited Stock,2023-04-19,,36,15.29,41x47x14,23.54
PROD00019,Digital Monitor E111,"Digital Monitor E111: Wireless connectivity, Biometric security",CAT004,Networking,SCAT014,Routers,683.13,943.38,SUPP0043,Active,2024-05-31,,37,19.83,42 x 48 x 37 cm,27.59
PROD00020,Smart Cable A548,"Smart Cable A548: High performance, Fast charging",CAT001,Computing Devices,SCAT001,Laptops,29.72,41.86,SUPP0035,Upcoming,2022-02-22,,27,9.07,83x51x39,29.0
PROD00021,Ultra Webcam K183,"Ultra Webcam K183: Energy efficient, Cloud storage, AI-powered, Wireless connectivity",CAT005,Software,SCAT018,Operating Systems,422.22,609.7,SUPP0029,Upcoming,2022-08-13,,36,7.21,57 x 55 x 56 cm,30.75
PROD00022,Ergonomic Printer H787,"Ergonomic Printer H787: Extended battery life, Shock proof, Voice control, Water resistant",CAT001,Computing Devices,SCAT003,Tablets,327.17,439.5,SUPP0040,Limited Stock,2024-09-13,,21,15.56,100 x 52 x 5 cm,25.56
PROD00023,Premium Server Y114,"Premium Server Y114: Fast charging, Wireless connectivity, AI-powered",CAT003,Accessories,SCAT012,Power Solutions,163.57,251.83,SUPP0029,Limited Stock,2022-01-16,,22,18.13,79 x 93 x 91 cm,35.05
PROD00024,Premium Adapter Q994,"Premium Adapter Q994: Energy efficient, Bluetooth enabled, AI-powered",CAT002,Peripherals,SCAT006,Monitors,457.93,731.92,SUPP0017,Discontinued,2023-04-16,2023-08-13,48,16.0,57 x 65 x 6 cm,37.43
PROD00025,Advanced Monitor M406,"Advanced Monitor M406: AI-powered, Cloud storage, Energy efficient",CAT003,Accessories,SCAT013,Audio Accessories,677.55,1103.2,SUPP0043,Limited Stock,2022-05-18,,12,3.17,35 x 8 x 51 cm,38.58
PROD00026,Professional Server O708,"Professional Server O708: Voice control, Biometric security, AI-powered, Fast charging",CAT001,Computing Devices,SCAT002,Desktops,821.45,1362.78,SUPP0042,Upcoming,2022-07-09,,39,16.57,49 x 43 x 38 cm,39.72
PROD00027,Lightweight Printer H303,"Lightweight Printer H303: Cloud storage, 4K resolution, Touch screen, Wireless connectivity, Voice control",CAT002,Peripherals,SCAT008,Scanners,237.82,393.66,SUPP0019,Upcoming,2022-08-21,,35,13.96,38 x 42 x 28 cm,39.59
PROD00028,Compact Laptop M698,"Compact Laptop M698: Voice control, 4K resolution",CAT001,Computing Devices,SCAT001,Laptops,479.71,783.89,SUPP0016,Discontinued,2022-04-29,2025-03-03,49,14.65,11 x 68 x 32 cm,
PROD00029,Basic Smartphone Z128,"Basic Smartphone Z128: Wireless connectivity, Cloud storage, Noise cancelling, Touch screen, AI-powered",CAT006,Enterprise Solutions,SCAT025,Virtualization,627.25,1026.08,SUPP0044,Upcoming,2024-02-07,,10,8.76,46 x 79 x 54 cm,38.87
PROD00030,Ergonomic Adapter C874,"Ergonomic Adapter C874: Water resistant, Energy efficient",CAT004,Networking,SCAT016,Network Adapters,205.03,303.92,SUPP0011,Active,2023-12-20,,15,0.62,,32.54
PROD00031,Portable Router K274,,CAT001,Computing Devices,SCAT004,Smartphones,791.18,1292.79,SUPP0027,Active,2023-08-02,,40,15.06,43 x 30 x 33 cm,38.8
PROD00032,Digital Microphone R988,"Digital Microphone R988: Cloud storage, Energy efficient, Touch screen, Bluetooth enabled",CAT003,Accessories,SCAT011,Cases & Bags,378.64,607.91,SUPP0029,Active,2022-11-23,,48,0.65,,37.71
PROD00033,Compact Keyboard V266,"Compact Keyboard V266: Cloud storage, 4K resolution",CAT002,Peripherals,SCAT009,Input Devices,461.22,776.45,SUPP0010,Limited Stock,2024-12-09,,18,1.91,12 x 12 x 23 cm,40.6
PROD00034,Compact Smartphone V600,"Compact Smartphone V600: High performance, Shock proof, Touch screen, Noise cancelling",CAT003,Accessories,SCAT010,Cables & Adapters,826.79,1075.24,SUPP0020,Active,2023-04-09,,21,11.69,,
PROD00035,Basic Scanner K934,"Basic Scanner K934: Water resistant, Extended battery life, Bluetooth enabled, Touch screen, High performance",CAT003,Accessories,SCAT010,Cables & Adapters,500.81,655.37,SUPP0022,Discontinued,2023-07-19,2024-11-26,29,14.55,40 x 58 x 34 cm,23.58
PROD00036,Smart Keyboard U721,"Smart Keyboard U721: Energy efficient, Shock proof",CAT004,Networking,SCAT016,Network Adapters,203.65,332.07,SUPP0026,Limited Stock,2022-09-05,,42,3.07,73 x 95 x 75 cm,38.67
PROD00037,Wireless Router G279,"Wireless Router G279: Shock proof, Energy efficient",CAT001,Computing Devices,SCAT004,Smartphones,765.09,1009.23,SUPP0001,Limited Stock,2024-01-27,,48,2.91,49 x 8 x 6 cm,24.19
PROD00038,Compact Router Y468,"Compact Router Y468: Bluetooth enabled, Voice control, Noise cancelling",CAT006,Enterprise Solutions,SCAT023,Backup Systems,779.73,1028.23,SUPP0018,Limited Stock,2022-08-25,,5,6.7,58 x 41 x 71 cm,24.17
PROD00039,All-in-one Printer Q965,"All-in-one Printer Q965: Fast charging, AI-powered",CAT005,Software,SCAT018,Operating Systems,513.28,814.55,SUPP0020,Active,2023-09-02,,13,19.77,56 x 15 x 78 cm,36.99
PROD00040,Premium Microphone O110,"Premium Microphone O110: Noise cancelling, Shock proof, Bluetooth enabled",CAT005,Software,SCAT020,Security Software,754.23,1096.14,SUPP0041,Limited Stock,2023-08-27,,7,10.25,3 x 75 x 93 cm,31.19
PROD00041,Smart Adapter S157,"Smart Adapter S157: High performance, Compact design",CAT003,Accessories,SCAT013,Audio Accessories,978.31,1406.96,SUPP0036,Discontinued,2023-03-16,,37,17.55,88 x 77 x 10 cm,30.47
PROD00042,Premium Printer P455,"Premium Printer P455: Touch screen, Cloud storage, Extended battery life, Voice control, Compact design",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,840.07,1107.85,SUPP0007,Discontinued,2024-01-22,2025-02-05,38,1.75,36 x 78 x 27 cm,24.17
PROD00043,Lightweight Printer U956,"Lightweight Printer U956: High performance, Biometric security",CAT005,Software,SCAT021,Design Software,573.67,967.13,SUPP0019,Active,2023-11-28,,48,19.91,49 x 19 x 1 cm,40.68
PROD00044,Premium Adapter Z222,"Premium Adapter Z222: Touch screen, Energy efficient, Fast charging, 4K resolution, Extended battery life",CAT001,Computing Devices,SCAT004,Smartphones,862.55,1335.44,SUPP0008,Active,2022-03-21,,40,9.52,39 x 67 x 71 cm,35.41
PROD00045,Portable Scanner C525,"Portable Scanner C525: Extended battery life, 4K resolution, Biometric security",CAT005,Software,SCAT019,Office Applications,631.79,989.44,SUPP0016,Limited Stock,2024-02-11,,11,19.93,76 x 30 x 52 cm,36.15
PROD00046,Ultra Server M816,"Ultra Server M816: Extended battery life, Bluetooth enabled, Energy efficient, Biometric security, Compact design",CAT004,Networking,SCAT016,Network Adapters,54.64,81.01,SUPP0023,Active,2024-07-19,,42,16.86,5 x 43 x 70 cm,32.55
PROD00047,Portable Scanner Z535,"Portable Scanner Z535: Fast charging, Noise cancelling, Cloud storage",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,333.88,525.76,SUPP0038,Active,2023-02-10,,42,2.68,43 x 64 x 85 cm,36.5
PROD00048,Premium Router C319,"Premium Router C319: Wireless connectivity, Fast charging",CAT001,Computing Devices,SCAT001,Laptops,770.52,1173.68,SUPP0011,Limited Stock,2022-01-02,,35,8.46,,34.35
PROD00049,All-in-one Monitor I423,"All-in-one Monitor I423: Water resistant, High performance",CAT004,Networking,SCAT016,Network Adapters,524.21,741.63,SUPP0006,Upcoming,2022-06-23,,32,16.81,99 x 19 x 88 cm,29.32
PROD00050,Ergonomic Memory Card S356,"Ergonomic Memory Card S356: 4K resolution, Energy efficient, Biometric security, Voice control",CAT005,Software,SCAT020,Security Software,138.97,221.46,SUPP0018,Upcoming,2022-03-10,,32,4.88,19 x 98 x 21 cm,37.25
PROD00051,Digital Power Bank Q427,"Digital Power Bank Q427: Biometric security, High performance",CAT001,Computing Devices,SCAT001,Laptops,309.0,518.99,SUPP0032,Discontinued,2023-06-21,2024-01-24,33,8.34,3 x 48 x 57 cm,40.46
PROD00052,Smart Projector E454,"Smart Projector E454: Water resistant, Shock proof, Cloud storage",CAT005,Software,SCAT021,Design Software,565.4,853.97,SUPP0034,Limited Stock,2024-04-16,,44,5.27,88 x 69 x 62 cm,33.79
PROD00053,Premium Laptop A415,"Premium Laptop A415: Wireless connectivity, Noise cancelling, Energy efficient, Extended battery life",CAT004,Networking,SCAT014,Routers,878.82,1432.66,SUPP0032,Upcoming,2022-09-11,,48,5.07,64 x 41 x 95 cm,38.66
PROD00054,Eco-friendly Microphone P946,"Eco-friendly Microphone P946: Compact design, Shock proof",CAT006,Enterprise Solutions,SCAT025,Virtualization,313.68,452.42,SUPP0015,Upcoming,2022-01-16,,9,18.67,1 x 60 x 86 cm,
PROD00055,Digital Desktop T773,"Digital Desktop T773: Noise cancelling, Energy efficient",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,903.88,1227.81,SUPP0018,Discontinued,2023-09-16,2024-05-08,28,15.2,82 x 100 x 92 cm,
PROD00056,Lightweight Scanner E797,"Lightweight Scanner E797: Touch screen, Voice control, Noise cancelling",CAT006,Enterprise Solutions,SCAT025,Virtualization,336.25,443.98,SUPP0042,Active,2022-07-31,,34,19.61,12 x 11 x 92 cm,24.26
PROD00057,Essential Storage Drive W303,"Essential Storage Drive W303: Fast charging, Biometric security, Noise cancelling, Cloud storage, Touch screen",CAT002,Peripherals,SCAT009,Input Devices,931.33,1382.45,SUPP0040,Discontinued,2023-10-15,2024-07-05,35,11.75,65 x 6 x 3 cm,32.63
PROD00058,Eco-friendly Power Bank R817,"Eco-friendly Power Bank R817: Biometric security, Water resistant, Extended battery life, Cloud storage, Touch screen",CAT003,Accessories,SCAT012,Power Solutions,436.55,728.79,SUPP0001,Active,2024-06-30,,34,0.95,46 x 33 x 36 cm,40.1
PROD00059,Premium Storage Drive X470,"Premium Storage Drive X470: Touch screen, Cloud storage, Wireless connectivity",CAT003,Accessories,SCAT012,Power Solutions,455.14,728.1,SUPP0048,Discontinued,2023-09-22,2025-02-26,29,11.89,16 x 23 x 96 cm,37.49
PROD00060,Lightweight Power Bank G929,"Lightweight Power Bank G929: Water resistant, Cloud storage",CAT001,Computing Devices,SCAT001,Laptops,832.95,1363.87,SUPP0022,Upcoming,2024-03-25,,15,4.41,64 x 72 x 36 cm,38.93
PROD00061,Digital Speaker Y656,"Digital Speaker Y656: Compact design, Voice control, Biometric security, Extended battery life, 4K resolution",CAT003,Accessories,SCAT012,Power Solutions,90.61,122.92,SUPP0005,Active,2023-06-17,,18,18.8,37 x 15 x 49 cm,26.29
PROD00062,All-in-one Workstation K709,"All-in-one Workstation K709: Biometric security, High performance, Wireless connectivity",CAT003,Accessories,SCAT012,Power Solutions,581.47,773.48,SUPP0043,Upcoming,2023-01-12,,24,12.52,97 x 7 x 27 cm,24.82
PROD00063,Digital Speaker J137,"Digital Speaker J137: Water resistant, Wireless connectivity, AI-powered, Cloud storage, Fast charging",CAT005,Software,SCAT018,Operating Systems,507.91,777.66,SUPP0030,Discontinued,2022-09-22,2023-05-12,49,13.22,57 x 13 x 86 cm,34.69
PROD00064,Ultra Router W119,"Ultra Router W119: Shock proof, Fast charging, Voice control, Cloud storage, Touch screen",CAT005,Software,SCAT021,Design Software,361.01,583.55,SUPP0035,Discontinued,2022-10-19,2023-03-06,44,18.65,59 x 18 x 55 cm,38.14
PROD00065,Portable Docking Station V769,"Portable Docking Station V769: Wireless connectivity, 4K resolution, Voice control, Extended battery life",CAT006,Enterprise Solutions,SCAT023,Backup Systems,123.59,191.28,SUPP0004,Limited Stock,2022-12-07,,15,19.8,22 x 65 x 3 cm,35.39
PROD00066,Basic Tablet Z280,"Basic Tablet Z280: Compact design, Wireless connectivity, Shock proof",CAT006,Enterprise Solutions,SCAT025,Virtualization,395.65,592.89,SUPP0041,Upcoming,2022-09-04,,40,12.06,2 x 68 x 28 cm,33.27
PROD00067,Eco-friendly Cable W793,"Eco-friendly Cable W793: Cloud storage, Fast charging, Extended battery life",CAT002,Peripherals,SCAT009,Input Devices,340.37,558.6,SUPP0022,Limited Stock,2022-01-17,,50,19.56,3 x 86 x 21 cm,39.07
PROD00068,Smart Workstation T331,"Smart Workstation T331: Noise cancelling, AI-powered, Fast charging, Water resistant, Touch screen",CAT002,Peripherals,SCAT009,Input Devices,321.42,535.4,SUPP0031,Active,2023-08-10,,42,12.28,71 x 59 x 33 cm,39.97
PROD00069,Ultra Memory Card J221,"Ultra Memory Card J221: Cloud storage, Shock proof, Touch screen, Fast charging",CAT002,Peripherals,SCAT008,Scanners,307.87,475.07,SUPP0007,Discontinued,2023-02-27,2023-06-26,35,3.33,43 x 99 x 32 cm,35.19
PROD00070,Smart Camera Z847,"Smart Camera Z847: Fast charging, High performance",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,382.0,542.46,SUPP0037,Limited Stock,2024-05-07,,13,19.93,21 x 52 x 35 cm,29.58
PROD00071,Eco-friendly Headphones G306,"Eco-friendly Headphones G306: Touch screen, Compact design, Shock proof, Cloud storage",CAT005,Software,SCAT021,Design Software,832.91,1121.11,SUPP0038,Limited Stock,2024-09-14,,47,2.43,99 x 61 x 67 cm,25.71
PROD00072,Eco-friendly Router H748,"Eco-friendly Router H748: Biometric security, Cloud storage, Compact design, Energy efficient",CAT003,Accessories,SCAT013,Audio Accessories,168.62,229.06,SUPP0021,Limited Stock,2024-01-04,,29,14.0,44 x 37 x 46 cm,26.39
PROD00073,Elite Webcam S186,"Elite Webcam S186: Water resistant, Energy efficient, Biometric security, High performance, 4K resolution",CAT003,Accessories,SCAT012,Power Solutions,211.06,310.08,SUPP0015,Limited Stock,2022-04-04,,12,17.16,29 x 68 x 15 cm,31.93
PROD00074,Basic Monitor V926,"Basic Monitor V926: Water resistant, 4K resolution, Bluetooth enabled, Biometric security, High performance",CAT001,Computing Devices,SCAT002,Desktops,978.13,1565.39,SUPP0006,Upcoming,2024-06-01,,29,5.12,27 x 67 x 81 cm,37.52
PROD00075,Basic Laptop A465,"Basic Laptop A465: High performance, Cloud storage, Bluetooth enabled, Shock proof",CAT003,Accessories,SCAT013,Audio Accessories,749.59,1023.81,SUPP0020,Limited Stock,2022-12-08,,18,9.32,69 x 74 x 36 cm,26.78
PROD00076,Compact Projector O102,"Compact Projector O102: 4K resolution, Extended battery life, Water resistant, High performance",CAT002,Peripherals,SCAT008,Scanners,768.78,1291.93,SUPP0035,Upcoming,2024-02-29,,47,0.38,93 x 76 x 92 cm,40.49
PROD00077,Lightweight Headphones I842,"Lightweight Headphones I842: 4K resolution, Bluetooth enabled",CAT003,Accessories,SCAT011,Cases & Bags,833.82,1316.24,SUPP0029,Limited Stock,2024-06-07,,50,4.72,1 x 9 x 83 cm,36.65
PROD00078,Heavy-duty Printer Z721,"Heavy-duty Printer Z721: AI-powered, Fast charging, Extended battery life, High performance, 4K resolution",CAT005,Software,SCAT019,Office Applications,227.16,346.44,SUPP0006,Limited Stock,2022-02-07,,45,16.33,19 x 93 x 44 cm,-34.43
PROD00079,Digital Projector I461,"Digital Projector I461: Touch screen, Noise cancelling, Biometric security",CAT003,Accessories,SCAT011,Cases & Bags,55.24,80.91,SUPP0022,Limited Stock,2022-02-16,,5,15.93,4 x 17 x 62 cm,31.73
PROD00080,Elite Webcam H859,"Elite Webcam H859: Voice control, High performance, Noise cancelling",CAT006,Enterprise Solutions,SCAT023,Backup Systems,357.29,565.37,SUPP0010,Discontinued,2024-10-25,2025-02-16,32,4.71,22 x 44 x 76 cm,36.8
PROD00081,Ergonomic Memory Card R331,"Ergonomic Memory Card R331: Cloud storage, Biometric security, Fast charging, Extended battery life",CAT004,Networking,SCAT016,Network Adapters,421.61,616.83,SUPP0034,Discontinued,2022-07-28,2023-12-10,40,17.52,91 x 73 x 24 cm,31.65
PROD00082,Portable Cable M128,"Portable Cable M128: Water resistant, Shock proof, Compact design, Voice control",CAT002,Peripherals,SCAT007,Printers,174.51,266.64,SUPP0012,Active,2023-05-24,,31,4.79,90 x 64 x 25 cm,34.55
PROD00083,Eco-friendly Webcam D893,"Eco-friendly Webcam D893: Energy efficient, Biometric security, Fast charging, Shock proof",CAT001,Computing Devices,SCAT005,Servers,472.31,794.03,SUPP0018,Discontinued,2023-07-04,2024-02-17,48,6.63,56 x 45 x 54 cm,40.52
PROD00084,Advanced Scanner L768,,CAT004,Networking,SCAT014,Routers,623.98,889.89,SUPP0047,Upcoming,2024-11-04,,19,16.56,54 x 96 x 10 cm,-29.88
PROD00085,Portable Printer C495,"Portable Printer C495: Shock proof, Noise cancelling, Fast charging",CAT004,Networking,SCAT016,Network Adapters,171.32,263.12,SUPP0006,Upcoming,2024-01-09,,38,4.24,62 x 41 x 91 cm,34.89
PROD00086,All-in-one Microphone F180,"All-in-one Microphone F180: Wireless connectivity, Fast charging, Cloud storage, Voice control, Biometric security",CAT005,Software,SCAT019,Office Applications,808.42,1292.03,SUPP0009,Upcoming,2023-09-01,,44,1.61,81 x 5 x 93 cm,37.43
PROD00087,Essential Workstation V420,"Essential Workstation V420: Compact design, Voice control, Fast charging, High performance",CAT005,Software,SCAT019,Office Applications,409.12,585.45,SUPP0043,Upcoming,2022-05-31,,36,4.9,82 x 61 x 66 cm,30.12
PROD00088,All-in-one Microphone S578,"All-in-one Microphone S578: Voice control, Bluetooth enabled",CAT003,Accessories,SCAT010,Cables & Adapters,900.51,1352.87,SUPP0001,Active,2024-08-26,,39,12.33,98 x 78 x 30 cm,33.44
PROD00089,Ergonomic Printer D417,,CAT005,Software,SCAT021,Design Software,49.39,69.36,SUPP0041,Limited Stock,2022-03-16,,50,19.55,79 x 57 x 1 cm,28.79
PROD00090,Elite Printer O649,"Elite Printer O649: Energy efficient, Fast charging, Shock proof, Wireless connectivity",CAT002,Peripherals,SCAT006,Monitors,146.42,248.19,SUPP0022,Active,2022-11-18,,23,5.87,24 x 58 x 4 cm,41.0
PROD00091,All-in-one Projector K261,"All-in-one Projector K261: Biometric security, Energy efficient, Compact design, Extended battery life, Shock proof",CAT006,Enterprise Solutions,SCAT025,Virtualization,411.72,588.15,SUPP0006,Discontinued,2022-12-05,2024-07-10,26,6.59,38 x 100 x 92 cm,30.0
PROD00092,Standard Adapter V667,"Standard Adapter V667: Voice control, Compact design, Noise cancelling",CAT006,Enterprise Solutions,SCAT024,Enterprise Networking,379.14,534.32,SUPP0046,Active,2023-09-16,,9,14.78,11 x 3 x 7 cm,29.04
PROD00093,High-performance Laptop W964,"High-performance Laptop W964: Water resistant, Biometric security",CAT005,Software,SCAT018,Operating Systems,605.11,927.78,SUPP0040,Active,2022-11-14,,36,16.48,5 x 18 x 27 cm,34.78
PROD00094,Ergonomic Smartphone P661,"Ergonomic Smartphone P661: AI-powered, Cloud storage",CAT003,Accessories,SCAT012,Power Solutions,48.62,72.05,SUPP0023,Upcoming,2022-07-01,,26,14.13,23 x 48 x 67 cm,32.52
PROD00095,Deluxe Smartphone P888,"Deluxe Smartphone P888: Noise cancelling, Extended battery life, Voice control",CAT002,Peripherals,SCAT007,Printers,916.08,803.3364558895387,SUPP0004,Upcoming,2024-10-26,,17,12.07,56 x 16 x 5 cm,40.86
PROD00096,Digital Storage Drive Y360,"Digital Storage Drive Y360: AI-powered, Extended battery life, Shock proof, Fast charging, Bluetooth enabled",CAT003,Accessories,SCAT013,Audio Accessories,589.68,918.79,SUPP0010,Discontinued,2024-08-25,2024-11-27,22,16.6,15 x 82 x 33 cm,35.82
PROD00097,Smart Speaker I701,"Smart Speaker I701: Biometric security, Voice control, Energy efficient",CAT003,Accessories,SCAT013,Audio Accessories,614.41,903.8,SUPP0025,Active,2023-10-15,,50,13.74,91 x 97 x 58 cm,32.02
PROD00098,Compact Headphones J357,"Compact Headphones J357: Fast charging, AI-powered, Shock proof, Touch screen, Water resistant",CAT004,Networking,SCAT014,Routers,774.77,1189.1,SUPP0004,Upcoming,2023-11-13,,31,1.19,15 x 24 x 43 cm,34.84
PROD00099,Lightweight Headphones W167,"Lightweight Headphones W167: AI-powered, Energy efficient, Extended battery life",CAT001,Computing Devices,SCAT005,Servers,470.83,636.95,SUPP0043,Limited Stock,2023-10-03,,42,18.34,30 x 12 x 65 cm,26.08
PROD00100,Essential Speaker M234,"Essential Speaker M234: Wireless connectivity, Shock proof, Compact design, Biometric security",CAT005,Software,SCAT019,Office Applications,90.56,124.06,SUPP0041,Upcoming,2023-12-19,,12,10.27,33 x 2 x 84 cm,27.0
PROD00101,All-in-one Software License Y651,"All-in-one Software License Y651: 4K resolution, Energy efficient, Touch screen, Water resistant, Bluetooth enabled",CAT003,Accessories,SCAT012,Power Solutions,408.43,681.59,SUPP0042,Active,2023-01-31,,24,5.65,38 x 11 x 56 cm,
PROD00102,Basic Workstation X950,"Basic Workstation X950: Extended battery life, Wireless connectivity",CAT006,Enterprise Solutions,SCAT025,Virtualization,104.12,156.66,SUPP0035,Limited Stock,2024-09-18,,12,1.08,50 x 26 x 81 cm,33.54
PROD00103,Basic Docking Station Z140,"Basic Docking Station Z140: Fast charging, Wireless connectivity, Cloud storage",CAT003,Accessories,SCAT010,Cables & Adapters,394.73,600.78,SUPP0006,Upcoming,2023-06-29,,30,12.03,59 x 20 x 49 cm,34.3
PROD00104,Eco-friendly Workstation Y470,"Eco-friendly Workstation Y470: Fast charging, Compact design, Voice control, 4K resolution",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,973.15,1298.16,SUPP0020,Active,2022-12-04,,26,8.98,76 x 17 x 13 cm,25.04
PROD00105,Basic Server T340,"Basic Server T340: Extended battery life, AI-powered, Cloud storage",CAT006,Enterprise Solutions,SCAT023,Backup Systems,998.03,1625.77,SUPP0009,Upcoming,2024-08-26,,43,10.97,73 x 2 x 33 cm,38.61
PROD00106,Smart Camera Z776,"Smart Camera Z776: Bluetooth enabled, Compact design",CAT006,Enterprise Solutions,SCAT023,Backup Systems,698.82,1110.1,SUPP0014,Limited Stock,2024-08-04,,34,12.2,1 x 31 x 65 cm,37.05
PROD00107,Portable Speaker M584,"Portable Speaker M584: Noise cancelling, Wireless connectivity",CAT004,Networking,SCAT017,Network Security,455.06,675.11,SUPP0033,Discontinued,2022-01-05,2024-08-31,11,7.75,88 x 65 x 93 cm,32.59
PROD00108,Wireless Printer P277,"Wireless Printer P277: Compact design, 4K resolution, Touch screen, Fast charging, Noise cancelling",CAT004,Networking,SCAT016,Network Adapters,515.73,803.1,SUPP0011,Upcoming,2024-03-28,,11,11.47,82 x 33 x 25 cm,
PROD00109,All-in-one Desktop G179,"All-in-one Desktop G179: Biometric security, Voice control, Fast charging, Touch screen",CAT006,Enterprise Solutions,SCAT022,Storage Solutions,227.93,374.01,SUPP0030,Upcoming,2023-06-13,,48,12.06,,39.06
PROD00110,Heavy-duty Power Bank S203,"Heavy-duty Power Bank S203: AI-powered, Shock proof",CAT005,Software,SCAT020,Security Software,736.08,997.48,SUPP0018,Limited Stock,2022-08-22,,28,8.56,75 x 54 x 14 cm,26.21
